ASX Code,Company Name,Sub-Industry
A1N,ARN Media Limited Ordinary,Broadcasting
A2M,The A2 Milk Company Limited Ordinary,Food Processing
A1M,AIC Mines Limited Ordinary,Integrated  Mining
A8G,Australasian Metals Limited Ordinary,Gold
A3D,Aurora Labs Limited Ordinary,Electronic Equipment & Parts
A4N,Alpha HPA Limited Ordinary,Commodity Chemicals
AAA,BetaShares Australian High Interest Cash ETF,N/A
AAC,Australian Agricultural Company Limited Ordinary,Food Processing
AAJ,Aruma Resources Limited Ordinary,Gold
AAJO,Aruma Resources Limited $0.10 Option Expiring 30-Jun-2026,Gold
AAR,Astral Resources NL Ordinary,Gold
AAP,Australian Agricultural Projects Limited Ordinary,Fishing & Farming
AARO,Astral Resources NL $0.14 Option Expiring 24-Oct-2025,Gold
AASF,Airlie Australian Share Fund (Managed Fund) ETF,N/A
AAUOC,Antilles Gold Limited $0.10 Option Expiring 30-Jun-2025,Gold
ABB,Aussie Broadband Limited Ordinary,Integrated Telecommunications Services
ABA,Auswide Bank Ltd Ordinary,Banks
AAU,Antilles Gold Limited Ordinary,Gold
ABE,Australian Bond Exchange Holdings Limited Ordinary,Investment Banking & Brokerage Services
ABC,Adbri Limited Ordinary,Construction Materials
ABG,Abacus Group Ordinary/Units Stapled Securities,Diversified REITs
ABV,Advanced Braking Technology Ltd Ordinary,"Auto, Truck & Motorcycle Parts"
ABX,ABX Group Limited Ordinary,Aluminum
ABY,Adore Beauty Group Limited Ordinary,Department Stores
AC8,Auscann Group Holdings Ltd Ordinary,Pharmaceuticals
ACDC,Global X Battery Tech & Lithium ETF,N/A
ACF,Acrow Limited Ordinary,Business Support Services
ACE,Acusensus Limited Ordinary,Communications & Networking
ACL,Australian Clinical Labs Limited Ordinary,Healthcare Facilities & Services
ACM,Australian Critical Minerals Limited Ordinary,Integrated  Mining
ACMOA,Australian Critical Minerals Limited $0.30 Option Expiring 29-Jun-2026,Integrated  Mining
ACP,Audalia Resources Limited Ordinary,Specialty Mining & Metals
ACQ,Acorn Capital Investment Fund Limited Ordinary,Investment Management & Fund Operators
ACR,Acrux Limited Ordinary,Pharmaceuticals
ACS,Accent Resources NL Ordinary,Integrated  Mining
ACU,Acumentis Group Limited Ordinary,Real Estate Services
ACW,Actinogen Medical Limited Ordinary,Biotechnology & Medical Research
AD1,AD1 Holdings Limited Ordinary,IT Services & Consulting
AD8,Audinate Group Limited Ordinary,Electronic Equipment & Parts
ADC,Acdc Metals Ltd Ordinary,Integrated  Mining
ADA,Adacel Technologies Limited Ordinary,Software
ADCO,Acdc Metals Ltd $0.30 Option Expiring 14-Apr-2025,Integrated  Mining
ADD,Adavale Resources Limited Ordinary,Integrated  Mining
ADDOA,Adavale Resources Limited $0.03 Option Expiring 31-Dec-2025,Uranium
ADEF,Apostle Dundas Global Equity Classd (Managed Fund) ETF,N/A
ADH,Adairs Limited Ordinary,Home Furnishings Retailers
ADG,Adelong Gold Limited Ordinary,Integrated  Mining
ADN,Andromeda Metals Limited Ordinary,Integrated  Mining
ADO,Anteotech Ltd Ordinary,Biotechnology & Medical Research
ADR,Adherium Limited Ordinary,Advanced Medical Equipment & Technology
ADT,Adriatic Metals PLC CDI 1:1,Integrated  Mining
ADV,Ardiden Ltd Ordinary,Integrated  Mining
ADS,Adslot Ltd. Ordinary,Online Services
ADX,ADX Energy Ltd Ordinary,Oil & Gas Exploration and Production
ADY,Admiralty Resources NL Ordinary,Steel
AEE,Aura Energy Limited Ordinary,Uranium
AEEO,Aura Energy Limited $0.05 Option Expiring 30-Jun-2024,Uranium
AEF,Australian Ethical Investment Limited Ordinary,Investment Management & Fund Operators
AER,Aeeris Ltd Ordinary,IT Services & Consulting
AESG,iShares Global Aggregate Bond ESG (AUD Hedged) ETF,N/A
AEI,Aeris Environmental Ltd Ordinary,Environmental Services & Equipment
AEV,Avenira Limited Ordinary,Construction Materials
AEVO,Avenira Limited $0.03 Option Expiring 31-Oct-2025,Construction Materials
AFA,ASF Group Limited Ordinary,Real Estate Services
AFG,Australian Finance Group Ltd Ordinary,Consumer Lending
AFI,Australian Foundation Investment Company Limited Ordinary,Investment Management & Fund Operators
AFL,AF Legal Group Ltd Ordinary,Personal Services
AFP,AFT Pharmaceuticals Limited Ordinary Foreign Exempt NZX,Pharmaceuticals
AFW,Applyflow Limited Ordinary,Employment Services
AGC,Australian Gold and Copper Ltd Ordinary,Gold
AGD,Austral Gold Limited Ordinary,Integrated  Mining
AGE,Alligator Energy Limited Ordinary,Uranium
AGH,Althea Group Holdings Limited Ordinary,Pharmaceuticals
AGEOC,Alligator Energy Limited $0.08 Option Expiring 28-Nov-2025,Uranium
AGI,Ainsworth Game Technology Limited Ordinary,Casinos & Gaming
AGN,Argenica Therapeutics Limited Ordinary,Biotechnology & Medical Research
AGL,AGL Energy Limited Ordinary,Multiline Utilities
AGR,Aguia Resources Limited Ordinary,Agricultural Chemicals
AGVT,BetaShares Australian Government Bond ETF,N/A
AGX1,Antipodes Global Shares (Quoted Managed Fund) ETF,N/A
AHC,Austco Healthcare Limited Ordinary,"Medical Equipment, Supplies & Dist'n"
AGY,Argosy Minerals Limited Ordinary,Specialty Mining & Metals
AHI,Advanced Health Intelligence Ltd Ordinary,Software
AHF,Australian Dairy Nutritionals Limited Ordinary,Fishing & Farming
AHK,ARK Mines Limited Ordinary,Integrated  Mining
AHL,Adrad Holdings Limited Ordinary,"Auto, Truck & Motorcycle Parts"
AHNO,Athena Resources Limited $0.02 Option Expiring 20-Oct-2025,Integrated  Mining
AHN,Athena Resources Limited Ordinary,Integrated  Mining
AI1,Adisyn Ltd Ordinary,IT Services & Consulting
AHX,Apiam Animal Health Limited Ordinary,Healthcare Facilities & Services
AII,Almonty Industries Inc. CDI 1:1,Specialty Mining & Metals
AIA,Auckland International Airport Limited Ordinary Foreign Exempt NZX,Airport Operators & Services
AIM,AI-Media Technologies Limited Ordinary,IT Services & Consulting
AIQ,Alternative Investment Trust Ordinary Units,Investment Management & Fund Operators
AIS,Aeris Resources Limited Ordinary,Integrated  Mining
AIV,Activex Limited Ordinary,Integrated  Mining
AIZ,Air New Zealand Limited Ordinary Foreign Exempt NZX,Airlines
AJL,AJ Lucas Group Limited Ordinary,Coal
AJX,Alexium International Group Limited Ordinary,Specialty Chemicals
AJQ,Armour Energy Limited Ordinary,Oil & Gas Exploration and Production
AJY,Asaplus Resources Limited CDI 1:1,Steel
AKG,Academies Australasia Group Limited Ordinary,"School, College & University"
AKM,Aspire Mining Limited Ordinary,Coal
AKO,Akora Resources Limited Ordinary,Steel
AKN,Auking Mining Limited Ordinary,Integrated  Mining
AKP,Audio Pixels Holdings Limited Ordinary,Computer Hardware
AL3,Aml3d Limited Ordinary,Industrial Machinery & Equipment
AL8,Alderan Resources Limited Ordinary,Integrated  Mining
AL8OA,Alderan Resources Limited $0.02 Option Expiring 09-Sep-2025,Integrated  Mining
ALA,Arovella Therapeutics Limited Ordinary,Biotechnology & Medical Research
ALB,Albion Resources Limited Ordinary,Specialty Mining & Metals
ALC,Alcidion Group Limited Ordinary,Software
ALI,Argo Global Listed Infrastructure Limited Ordinary,Investment Management & Fund Operators
ALD,Ampol Limited Ordinary,Oil & Gas Refining and Marketing
ALL,Aristocrat Leisure Limited Ordinary,Casinos & Gaming
ALK,Alkane Resources Limited Ordinary,Gold
ALM,Alma Metals Limited CDI 1:1,Specialty Mining & Metals
ALQ,ALS Limited Ordinary,Business Support Services
ALU,Altium Limited Ordinary,Software
ALV,Alvo Minerals Limited Ordinary,Specialty Mining & Metals
ALX,Atlas Arteria FPO Stap US Prohibited Excluding QUP,Highways & Rail Tracks
ALY,Alchemy Resources Limited Ordinary,Integrated  Mining
AM7,Arcadia Minerals Limited CDI 1:1,Specialty Mining & Metals
AMA,AMA Group Limited Ordinary,Personal Services
AMD,Arrow Minerals Ltd Ordinary,Steel
AMC,Amcor PLC CDI 1:1 Foreign Exempt NYSE,Non-Paper Containers & Packaging
AME,Alto Metals Limited Ordinary,Gold
AMH,Amcil Limited Ordinary,Investment Management & Fund Operators
AMI,Aurelia Metals Limited Ordinary,Integrated  Mining
AML,Aeon Metals Limited Ordinary,Specialty Mining & Metals
AMM,Armada Metals Limited Ordinary,Specialty Mining & Metals
AMN,Agrimin Limited Ordinary,Agricultural Chemicals
AMPPB,AMP Limited Cap Note 3-Bbsw+4.50% Perp non-CUM Red T-12-25,Investment Management & Fund Operators
AMP,AMP Limited Ordinary,Diversified Investment Services
AMO,Ambertech Limited Ordinary,Household Electronics
AMS,Atomos Limited Ordinary,Household Electronics
AMT,Allegra Medical Technologies Limited Ordinary,"Medical Equipment, Supplies & Dist'n"
AMX,Aerometrex Limited Ordinary,Mining Support Services & Equipment
AN1,Anagenics Limited Ordinary,Personal Products
AN3PH,Australia and New Zealand Banking Group Limited Cap Note 3-Bbsw+3.80% Perp non-CUM Red T-03-25,Banks
AN3PI,Australia and New Zealand Banking Group Limited Cap Note 3-Bbsw+3.00 Perp non-CUM Red T-03-28,Banks
AN3PK,Australia and New Zealand Banking Group Limited Cap Note 3-Bbsw+2.75% Perp non-CUM Red T-03-30,Banks
AN3PJ,Australia and New Zealand Banking Group Limited Cap Note 3-Bbsw+2.70% Perp non-CUM Red T-03-29,Banks
AN3PL,Australia and New Zealand Banking Group Limited Cap Note 3-Bbsw+2.90% Perp non-CUM Red T-03-31,Banks
AND,Ansarada Group Limited Ordinary,Software
ANG,Austin Engineering Limited Ordinary,Heavy Machinery & Vehicles
ANL,Amani Gold Limited Ordinary,Gold
ANN,Ansell Limited Ordinary,"Medical Equipment, Supplies & Dist'n"
ANO,Advance Zinctek Limited Ordinary,Personal Products
ANR,Anatara Lifesciences Ltd Ordinary,Pharmaceuticals
ANX,Anax Metals Limited Ordinary,Integrated  Mining
ANZ,ANZ Group Holdings Limited Ordinary,Banks
AO1,Assetowl Limited Ordinary,Software
AOA,Ausmon Resources Limited Ordinary,Integrated  Mining
AOF,Australian Unity Office Fund Ordinary Units,Commercial REITs
AON,Apollo Minerals Limited Ordinary,Precious Metals & Minerals
APC,Australian Potash Limited Ordinary,Agricultural Chemicals
APA,APA Group Units Stapled Securities,Natural Gas Utilities
APE,Eagers Automotive Limited Ordinary,"Auto Vehicles, Parts & Svc Retailers"
APL,Associate Global Partners Limited Ordinary,Investment Management & Fund Operators
APM,APM Human Services International Limited Ordinary,Employment Services
APS,Allup Silica Limited Ordinary,Specialty Mining & Metals
APW,Aims Property Securities Fund Ordinary Units,Commercial REITs
APX,Appen Limited Ordinary,IT Services & Consulting
APZ,Aspen Group Ordinary/Units Stapled Securities,"Real Estate Rental, Devel & Operations"
AQC,Australian Pacific Coal Limited Ordinary,Coal
AQD,Ausquest Limited Ordinary,Integrated  Mining
AQI,Alicanto Minerals Limited Ordinary,Precious Metals & Minerals
AQN,Aquirian Limited Ordinary,Mining Support Services & Equipment
AQLT,BetaShares Australian Quality ETF,N/A
AQX,Alice Queen Limited Ordinary,Integrated  Mining
AQXOA,Alice Queen Limited $0.16 Option Expiring 09-Dec-2025,Integrated  Mining
AQXOB,Alice Queen Limited $0.26 Option Expiring 23-Sep-2025,Integrated  Mining
AQXOC,Alice Queen Limited $0.02 Option Expiring 19-Aug-2026,Integrated  Mining
AR1,Austral Resources Australia Ltd Ordinary,Specialty Mining & Metals
AQZ,Alliance Aviation Services Limited Ordinary,Airlines
AR3,Australian Rare Earths Limited Ordinary,Precious Metals & Minerals
AR9,Archtis Limited Ordinary,Software
ARA,Ariadne Australia Limited Ordinary,Investment Management & Fund Operators
ARB,ARB Corporation Limited Ordinary,"Auto, Truck & Motorcycle Parts"
ARC,ARC Funds Limited Ordinary,Investment Management & Fund Operators
ARD,Argent Minerals Limited Ordinary,Integrated  Mining
ARDO,Argent Minerals Limited $0.04 Option Expiring 30-Nov-2024,Integrated  Mining
ARF,Arena Reit. Ordinary/Units Stapled Securities,Specialized REITs
ARN,Aldoro Resources Limited Ordinary,Integrated  Mining
ARL,Ardea Resources Limited Ordinary,Integrated  Mining
ARG,Argo Investments Limited Ordinary,Investment Management & Fund Operators
ARR,American Rare Earths Limited Ordinary,Precious Metals & Minerals
ART,Airtasker Limited Ordinary,Software
ARU,Arafura Rare Earths Ltd Ordinary,Precious Metals & Minerals
ARUOA,Arafura Rare Earths Ltd $0.23 Option Expiring 20-Jun-2025,Precious Metals & Minerals
ARV,Artemis Resources Limited Ordinary,Integrated  Mining
ARVOC,Artemis Resources Limited $0.03 Option Expiring 09-Mar-2026,Integrated  Mining
ARX,Aroa Biosurgery Limited Ordinary,"Medical Equipment, Supplies & Dist'n"
AS1,Asara Resources Limited Ordinary,Gold
AS2,Askari Metals Limited Ordinary,Integrated  Mining
AS2O,Askari Metals Limited $0.25 Option Expiring 31-Oct-2024,Specialty Mining & Metals
ASAO,Abrdn Sust Asian OPP Active ETF (Managed Fund) ETF,N/A
ASB,Austal Limited Ordinary,Aerospace & Defense
ASG,Autosports Group Limited Ordinary,"Auto Vehicles, Parts & Svc Retailers"
ASE,Astute Metals NL Ordinary,Construction Materials
ASH,Ashley Services Group Limited Ordinary,Employment Services
ASK,Abacus Storage King Ordinary/Units Stapled Securities,Specialized REITs
ASIA,BetaShares Asia Technology Tigers ETF,N/A
ASM,Australian Strategic Materials Limited Ordinary,Precious Metals & Minerals
ASN,Anson Resources Limited Ordinary,Specialty Mining & Metals
ASO,Aston Minerals Limited Ordinary,Gold
ASP,Aspermont Limited Ordinary,Consumer Publishing
ASQ,Australian Silica Quartz Group Ltd Ordinary,Aluminum
ASR,Asra Minerals Limited Ordinary,Integrated  Mining
ASRO,Asra Minerals Limited $0.02 Option Expiring 01-Feb-2026,Gold
ASV,Asset Vision Co Ltd Ordinary,Software
ASX,ASX Limited Ordinary,"Financial, Commodity Market Ops & Svc"
AT1,Atomo Diagnostics Limited Ordinary,Advanced Medical Equipment & Technology
ATA,Atturra Limited Ordinary,IT Services & Consulting
ATEC,BetaShares S&P/ASX Australian Technology ETF,N/A
ATC,Altech Batteries Ltd Ordinary,Electrical Components & Equipment
ATG,Articore Group Limited Ordinary,Online Services
ATH,Alterity Therapeutics Limited Ordinary,Biotechnology & Medical Research
ATHO,Alterity Therapeutics Limited $0.01 Option Expiring 31-Aug-2026,Biotechnology & Medical Research
ATOM,Global X Uranium ETF,N/A
ATM,Aneka Tambang (Persero) TBK (PT) CDI 1:5,Gold
ATP,Atlas Pearls Ltd Ordinary,Apparel & Accessories
ATR,Astron Corporation Limited CDI 1:1,Specialty Mining & Metals
ATS,Australis Oil & Gas Limited Ordinary,Oil & Gas Exploration and Production
ATU,Atrum Coal Limited Ordinary,Steel
ATX,Amplia Therapeutics Limited Ordinary,Biotechnology & Medical Research
ATV,Activeport Group Ltd Ordinary,IT Services & Consulting
AU1,The Agency Group Australia Ltd Ordinary,Real Estate Services
AUA,Audeara Limited Ordinary,Household Electronics
AUB,AUB Group Limited Ordinary,Multiline Insurance & Brokers
AUC,Ausgold Limited Ordinary,Gold
AUDS,BetaShares Strong Australian Dollar Fund (Hedge Fund) ETF,N/A
AUEO,Aurum Resources Limited $0.23 Option Expiring 21-Oct-2026,Integrated  Mining
AUG,Augustus Minerals Limited Ordinary,Integrated  Mining
AUE,Aurum Resources Limited Ordinary,Integrated  Mining
AUH,Austchina Holdings Limited Ordinary,Oil & Gas Exploration and Production
AUI,Australian United Investment Company Limited Ordinary,Investment Management & Fund Operators
AUK,Aumake Limited Ordinary,Food Retail & Distribution
AUKOA,Aumake Limited $0.04 Option Expiring 31-May-2025,Food Retail & Distribution
AUMF,iShares Edge MSCI Australia Multifactor ETF,N/A
AUN,Aurumin Limited Ordinary,Gold
AUNO,Aurumin Limited $0.25 Option Expiring 18-Aug-2024,Gold
AUNOC,Aurumin Limited $0.06 Option Expiring 31-Aug-2024,Gold
AUQ,Alara Resources Limited Ordinary,Integrated  Mining
AUR,Auris Minerals Limited Ordinary,Integrated  Mining
AUST,BetaShares Managed Risk AUS SH Fund (Managed Fund) ETF,N/A
AUZO,Australian Mines Limited $0.14 Option Expiring 30-May-2024,Specialty Mining & Metals
AUZ,Australian Mines Limited Ordinary,Specialty Mining & Metals
AUZOA,Australian Mines Limited $0.02 Option Expiring 02-Feb-2027,Specialty Mining & Metals
AV1,Adveritas Limited Ordinary,Online Services
AVA,AVA Risk Group Limited Ordinary,Communications & Networking
AVC,Auctus Investment Group Limited Ordinary,Investment Management & Fund Operators
AVD,Avada Group Limited Ordinary,Construction & Engineering
AVEOA,Avecho Biotechnology Limited $0.01 Option Expiring 10-May-2026,Biotechnology & Medical Research
AVE,Avecho Biotechnology Limited Ordinary,Biotechnology & Medical Research
AVG,Australian Vintage Ltd Ordinary,Distillers & Wineries
AVH,Avita Medical Inc. CDI 5:1,Biotechnology & Medical Research
AVJ,Avjennings Limited Ordinary,"Real Estate Rental, Devel & Operations"
AVL,Australian Vanadium Limited Ordinary,Electrical Components & Equipment
AVM,Advance Metals Limited Ordinary,Coal
AVR,Anteris Technologies Ltd Ordinary,"Medical Equipment, Supplies & Dist'n"
AVW,Avira Resources Ltd Ordinary,Gold
AVWOA,Avira Resources Ltd $0.01 Option Expiring 31-Dec-2024,Gold
AVZ,AVZ Minerals Limited Ordinary,Integrated  Mining
AW1,American West Metals Limited Ordinary,Integrated  Mining
AW1O,American West Metals Limited $0.20 Option Expiring 20-Sep-2024,Integrated  Mining
AWJ,Auric Mining Limited Ordinary,Gold
AWC,Alumina Limited Ordinary,Aluminum
AX8,Accelerate Resources Limited Ordinary,Integrated  Mining
AX1,Accent Group Limited Ordinary,Apparel & Accessories Retailers
AXE,Archer Materials Limited Ordinary,Semiconductors
AXI,Axiom Properties Limited Ordinary,"Real Estate Rental, Devel & Operations"
AXN,Alliance Nickel Limited Ordinary,Specialty Mining & Metals
AXP,AXP Energy Limited Ordinary,Oil & Gas Exploration and Production
AYA,Artrya Limited Ordinary,Healthcare Facilities & Services
AYI,A1 Investments & Resources Ltd Ordinary,Investment Management & Fund Operators
AYLD,Global X S&P/ASX 200 Covered Call ETF,N/A
AYT,Austin Metals Limited Ordinary,Precious Metals & Minerals
AYM,Australia United Mining Limited Ordinary,Gold
AYUHC,Australian Unity Limited Simple Bond 3-Bbsw+2.00% 15-12-24,Investment Management & Fund Operators
AYUHD,Australian Unity Limited Simple Bond 3-Bbsw+2.15% 15-12-26,Investment Management & Fund Operators
AYUPA,Australian Unity Limited MCI Cap Note 5.00% Perp Semi non-CUM,Healthcare Facilities & Services
AZI,Altamin Limited Ordinary,Specialty Mining & Metals
AYUHE,Australian Unity Limited Simple Bond 3-Bbsw+2.50% 15-12-28,Investment Management & Fund Operators
AZLO,Arizona Lithium Limited $0.05 Option Expiring 10-Aug-2025,Integrated  Mining
AZJ,Aurizon Holdings Limited Ordinary,Ground Freight & Logistics
AZL,Arizona Lithium Limited Ordinary,Specialty Mining & Metals
AZLOA,Arizona Lithium Limited $0.18 Option Expiring 15-Aug-2024,Integrated  Mining
AZY,Antipa Minerals Limited Ordinary,Integrated  Mining
AZS,Azure Minerals Limited Ordinary,Integrated  Mining
B4P,Beforepay Group Limited Ordinary,Software
BAOR,Aoris INT Fund (Class B) (Unhedged) (Managed Fund) ETF,N/A
BAP,Bapcor Limited Ordinary,"Auto, Truck & Motorcycle Parts"
BAS,Bass Oil Limited Ordinary,Oil & Gas Exploration and Production
BASO,Bass Oil Limited $0.12 Option Expiring 30-Sep-2024,Oil & Gas Exploration and Production
BB1,Blinklab Limited Ordinary,Software
BBAB,BetaShares Geared Short AUS GOV Bond (Hedge Fund) ETF,N/A
BBC,Bank Banking Corporation Limited Ordinary,Banks
BBFD,BetaShares Geared Short US TR Bond CH (Hedge Fund) ETF,N/A
BBL,Brisbane Broncos Limited Ordinary,Leisure & Recreation
BBN,Baby Bunting Group Limited Ordinary,Other Specialty Retailers
BBOZ,BetaShares Australian Strong Bear (Hedge Fund) ETF,N/A
BBT,Bluebet Holdings Ltd Ordinary,Casinos & Gaming
BBUS,BetaShares US EQY Strong Bear - CH (Hedge Fund) ETF,N/A
BC8,Black Cat Syndicate Limited Ordinary,Gold
BC8O,Black Cat Syndicate Limited $0.34 Option Expiring 14-Nov-2025,Gold
BCA,Black Canyon Limited Ordinary,Specialty Mining & Metals
BCB,Bowen Coking Coal Limited Ordinary,Steel
BCI,BCI Minerals Limited Ordinary,Steel
BCC,Beam Communications Holdings Limited Ordinary,Communications & Networking
BCK,Brockman Mining Limited Ordinary,Steel
BCM,Brazilian Critical Minerals Limited Ordinary,Integrated  Mining
BCMO,Brazilian Critical Minerals Limited $0.05 Option Expiring 11-Jan-2026,Integrated  Mining
BCMOA,Brazilian Critical Minerals Limited $0.12 Option Expiring 31-Dec-2025,Integrated  Mining
BCOM,Global X Bloomberg Commodity ETF (Synthetic) ETF,N/A
BCN,Beacon Minerals Limited Ordinary,Gold
BCT,Bluechiip Limited Ordinary,Advanced Medical Equipment & Technology
BDG,Black Dragon Gold Corp. CDI 1:1,Gold
BDM,Burgundy Diamond Mines Limited Ordinary,Precious Metals & Minerals
BDT,Birddog Technology Limited Ordinary,Integrated Hardware & Software
BDX,Bcal Diagnostics Limited Ordinary,"Medical Equipment, Supplies & Dist'n"
BEAR,BetaShares Australian Equities Bear (Hedge Fund) ETF,N/A
BEE,Broo Ltd Ordinary,Brewers
BEL,Bentley Capital Limited Ordinary,Investment Management & Fund Operators
BEN,Bendigo and Adelaide Bank Limited Ordinary,Banks
BENPG,Bendigo and Adelaide Bank Limited Cnv Pref 3-Bbsw+3.75% Perp non-CUM Red T-06-24,Banks
BENPH,Bendigo and Adelaide Bank Limited Cap Note 3-Bbsw+3.80% Perp non-CUM Red T-06-27,Banks
BENPI,Bendigo and Adelaide Bank Limited Cap Note 3-Bbsw+3.20% Perp non-CUM Red T-12-30,Banks
BET,Betmakers Technology Group Ltd Ordinary,Casinos & Gaming
BEO,Beonic Ltd Ordinary,Software
BEX,Bikeexchange Limited Ordinary,Online Services
BFC,Beston Global Food Company Limited Ordinary,Food Processing
BEZ,Besra Gold Inc. CDI 1:1,Gold
BFG,Bell Financial Group Limited Ordinary,Investment Banking & Brokerage Services
BFL,BSP Financial Group Limited Ordinary,Banks
BGA,Bega Cheese Limited Ordinary,Food Processing
BGBL,BetaShares Global Shares ETF,N/A
BGE,Bridge Saas Limited Ordinary,IT Services & Consulting
BGD,Barton Gold Holdings Limited Ordinary,Gold
BGP,Briscoe Group Australasia Limited Ordinary Foreign Exempt NZX,Home Furnishings Retailers
BGL,Bellevue Gold Limited Ordinary,Gold
BGT,Bio-Gene Technology Ltd Ordinary,Agricultural Chemicals
BHD,Benjamin Hornigold Limited Ordinary,Investment Banking & Brokerage Services
BHYB,BetaShares Australian Major Bank Hybrids Index ETF,N/A
BHP,BHP Group Limited Ordinary,Integrated  Mining
BILL,iShares Core Cash ETF,N/A
BIM,Bindi Metals Limited Ordinary,Gold
BIO,Biome Australia Limited Ordinary,Pharmaceuticals
BIS,Bisalloy Steel Group Limited Ordinary,Steel
BIT,Biotron Limited Ordinary,Biotechnology & Medical Research
BITOC,Biotron Limited $0.06 Option Expiring 25-Nov-2024,Biotechnology & Medical Research
BKG,Booktopia Group Limited Ordinary,Department Stores
BKI,BKI Investment Company Limited Ordinary,Investment Management & Fund Operators
BKT,Black Rock Mining Limited Ordinary,Specialty Mining & Metals
BKW,Brickworks Limited Ordinary,Construction Materials
BKY,Berkeley Energia Limited Ordinary,Precious Metals & Minerals
BLD,Boral Limited Ordinary,Construction Materials
BLGO,Bluglass Limited $0.05 Option Expiring 28-Feb-2025,Semiconductors
BLG,Bluglass Limited Ordinary,Semiconductors
BLU,Blue Energy Limited Ordinary,Oil & Gas Exploration and Production
BLX,Beacon Lighting Group Limited Ordinary,Home Improvement Prod&Svcs Retailers
BLZ,Blaze Minerals Limited Ordinary,Gold
BLZOB,Blaze Minerals Limited $0.05 Option Expiring 31-May-2024,Gold
BM8,Battery AGE Minerals Ltd Ordinary,Specialty Mining & Metals
BMH,Baumart Holdings Limited Ordinary,"Courier, Postal, Air Freight&Land Log"
BMG,BMG Resources Limited Ordinary,Integrated  Mining
BML,Boab Metals Limited Ordinary,Integrated  Mining
BMM,Balkan Mining and Minerals Limited Ordinary,Specialty Mining & Metals
BMO,Bastion Minerals Limited Ordinary,Integrated  Mining
BMN,Bannerman Energy Ltd Ordinary,Uranium
BMR,Ballymore Resources Limited Ordinary,Specialty Mining & Metals
BMOOA,Bastion Minerals Limited $0.09 Option Expiring 20-Jan-2026,Integrated  Mining
BNDS,BetaShares Western Asset AUS Bond Fund (Managed Fund) ETF,N/A
BMT,Beamtree Holdings Limited Ordinary,Software
BNKS,BetaShares Global Banks ETF - Currency Hedged ETF,N/A
BNL,Blue Star Helium Limited Ordinary,Agricultural Chemicals
BNR,Bulletin Resources Limited Ordinary,Gold
BNRO,Bulletin Resources Limited $0.10 Option Expiring 30-Sep-2024,Gold
BNZ,Benz Mining Corp. CDI 1:1,Gold
BOAO,Boadicea Resources Limited $0.10 Option Expiring 30-Jan-2026,Integrated  Mining
BOA,Boadicea Resources Limited Ordinary,Integrated  Mining
BOAOA,Boadicea Resources Limited $0.42 Option Expiring 30-Jun-2024,Specialty Mining & Metals
BOC,Bougainville Copper Limited 1 Kina Ordinary,Integrated  Mining
BOD,BOD Science Limited Ordinary,Pharmaceuticals
BOE,Boss Energy Ltd Ordinary,Uranium
BOL,Boom Logistics Limited Ordinary,Business Support Services
BOND,SPDR S&P/ASX Australian Bond Fund ETF,N/A
